City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,grand gaube,-20.0064,57.6608,300.37,79,94,2.24,MU,1675707587
161,lagoa,39.05,-27.9833,286.61,71,90,12.87,PT,1675707335
162,abu samrah,35.3029,37.1841,280.07,81,78,11.47,SY,1675707519
163,puerto escondido,15.85,-97.0667,300.61,74,20,7.2,MX,1675707327
164,portland,45.5234,-122.6762,281.73,87,75,5.36,US,1675707556
165,tomatlan,19.9333,-105.25,303.86,33,0,2.68,MX,1675707668
166,bairiki,1.3292,172.9752,301.15,78,75,5.14,KI,1675707668
167,bakchar,57.0186,82.0711,255.23,100,100,1.05,RU,1675707668
168,gorontalo,0.5412,123.0595,296.97,89,99,1.36,ID,1675707669
169,moussoro,13.6408,16.4901,300.59,11,85,5.75,TD,1675707478
170,petropavlovsk-kamchatskiy,53.0452,158.6483,257.48,72,75,3.0,RU,1675707271
171,erzin,36.9559,36.2,280.9,86,100,1.28,TR,1675707669
172,athabasca,54.7169,-113.2854,271.38,83,89,4.69,CA,1675707670
173,vao,-22.6667,167.4833,299.0,73,43,6.17,NC,1675707670
174,tiksi,71.6872,128.8694,238.02,100,87,2.46,RU,1675707339
175,hervey bay,-25.2986,152.8535,297.73,72,5,6.87,AU,1675707670
176,sabha,27.0377,14.4283,286.72,44,60,3.81,LY,1675707671
177,coquimbo,-29.9533,-71.3436,294.0,73,75,5.14,CL,1675707574
178,san cristobal,7.7669,-72.225,301.25,47,79,3.24,VE,1675707671
179,briancon,44.9,6.65,270.9,93,5,0.93,FR,1675707671
180,kavieng,-2.5744,150.7967,300.36,79,100,4.65,PG,1675707339
181,torbay,47.6666,-52.7314,276.97,97,100,5.66,CA,1675707260
182,tubuala,9.5167,-79.0333,299.69,82,39,6.44,PA,1675707672
183,nakhon si thammarat,8.25,100.0,296.24,89,73,0.41,TH,1675707672
184,tuzamapan,19.4,-96.85,295.51,65,39,3.1,MX,1675707673
185,kirakira,-10.4544,161.9205,299.56,85,100,4.75,SB,1675707673
186,gushi,34.6425,109.5843,279.02,41,61,1.61,CN,1675707674
187,kyra,49.5776,111.9753,252.6,94,70,1.84,RU,1675707674
188,bathsheba,13.2167,-59.5167,301.49,61,40,9.26,BB,1675707275
189,thinadhoo,0.5333,72.9333,300.33,75,99,3.8,MV,1675707577
190,nouadhibou,20.931,-17.0347,293.14,52,0,8.75,MR,1675707674
191,vicksburg,32.3526,-90.8779,293.28,52,0,4.12,US,1675707340
192,port hardy,50.6996,-127.4199,280.25,93,100,6.69,CA,1675707487
193,nevelsk,46.6733,141.8633,264.61,69,98,4.49,RU,1675707675
194,hasaki,35.7333,140.8333,279.38,50,100,3.84,JP,1675707405
195,pamanukan,-6.2842,107.8106,298.53,75,98,3.08,ID,1675707675
196,aparecida do taboado,-20.0867,-51.0936,301.07,69,84,2.13,BR,1675707675
197,alta floresta,-9.8756,-56.0861,303.05,66,40,2.57,BR,1675707676
198,calama,-22.4667,-68.9333,296.42,40,40,11.32,CL,1675707676
199,hithadhoo,-0.6,73.0833,300.58,69,55,4.88,MV,1675707208
200,port lincoln,-34.7333,135.8667,289.85,84,0,6.63,AU,1675707239
201,komsomolskiy,40.4272,71.7189,277.55,81,100,2.06,UZ,1675707338
202,pauini,-7.7136,-66.9764,295.61,99,100,0.8,BR,1675707677
203,padang,-0.9492,100.3543,298.18,74,99,1.79,ID,1675707236
204,keti bandar,24.1447,67.4497,294.96,73,0,4.09,PK,1675707677
205,mudanya,40.3753,28.8822,276.49,86,100,9.69,TR,1675707406
206,davila,18.4726,120.5763,297.14,76,50,2.07,PH,1675707678
207,nuuk,64.1835,-51.7216,259.49,92,75,3.6,GL,1675707679
208,tura,25.5198,90.2201,288.39,42,0,1.26,IN,1675707610
209,arraial do cabo,-22.9661,-42.0278,304.13,62,20,6.17,BR,1675707293
210,mitu,1.1983,-70.1733,299.08,88,85,0.73,CO,1675707680
211,haines junction,60.7522,-137.5108,274.12,32,58,6.17,CA,1675707385
212,arrecife,28.963,-13.5477,291.14,48,75,5.14,ES,1675707591
213,mount gambier,-37.8333,140.7667,285.17,94,20,2.23,AU,1675707515
214,aklavik,68.2191,-135.0107,237.15,68,100,1.03,CA,1675707368
215,kasempa,-13.4584,25.8338,291.93,96,86,2.12,ZM,1675707681
216,rundu,-17.9333,19.7667,292.94,93,100,2.22,NA,1675707681
217,tuatapere,-46.1333,167.6833,287.75,80,83,3.76,NZ,1675707637
218,kaili,-3.4626,120.2147,293.14,94,98,1.31,ID,1675707409
219,nisia floresta,-6.0911,-35.2086,303.6,60,45,6.35,BR,1675707499
220,severo-kurilsk,50.6789,156.125,269.64,70,94,4.05,RU,1675707424
221,vredendal,-31.6683,18.5012,292.78,87,72,4.72,ZA,1675707579
222,saint anthony,45.0205,-93.218,276.0,72,0,9.26,US,1675707681
223,ixtapa,20.7,-105.2,298.72,47,0,2.06,MX,1675707274
224,la ronge,55.1001,-105.2842,264.29,73,100,6.17,CA,1675707682
225,lerwick,60.1545,-1.1494,281.15,79,93,8.26,GB,1675707682
226,lanzhou,36.0564,103.7922,274.34,40,22,1.15,CN,1675707682
227,ahipara,-35.1667,173.1667,290.19,89,19,3.06,NZ,1675707300
228,avera,33.194,-82.5271,291.79,39,0,2.13,US,1675707665
229,williams lake,52.1415,-122.1445,277.07,69,100,5.66,CA,1675707683
230,vestmannaeyjar,63.4427,-20.2734,274.7,86,75,17.49,IS,1675707683
231,parintins,-2.6283,-56.7358,304.05,56,88,1.73,BR,1675707683
232,marzuq,14.4,46.4667,290.99,65,85,3.22,YE,1675707568
233,umm lajj,25.0213,37.2685,293.12,46,81,4.9,SA,1675707451
234,baghdad,33.3406,44.4009,287.1,72,0,3.09,IQ,1675707684
235,namtsy,62.7161,129.6658,228.65,100,90,1.62,RU,1675707684
236,guerrero negro,27.9769,-114.0611,289.29,60,78,11.23,MX,1675707685
237,japura,-0.3167,102.35,296.96,90,99,1.51,ID,1675707685
238,ambilobe,-13.2,49.05,296.28,95,100,1.36,MG,1675707451
239,saint-joseph,-21.3667,55.6167,299.36,83,76,5.14,RE,1675707350
240,rojhan,28.6868,69.9534,291.55,27,0,3.96,PK,1675707685
241,yatou,37.15,122.3833,275.09,91,74,3.02,CN,1675707686
242,hami,42.8,93.45,273.85,41,99,2.56,CN,1675707301
243,pevek,69.7008,170.3133,235.49,100,99,1.78,RU,1675707481
244,namalenga,-10.95,39.1,295.22,95,100,0.38,TZ,1675707686
245,adeje,28.1227,-16.726,290.94,57,75,0.0,ES,1675707686
246,cody,44.5263,-109.0565,277.36,40,100,3.09,US,1675707560
247,takanabe,32.1333,131.5,282.11,95,100,4.73,JP,1675707687
248,aksu,41.1231,80.2644,269.48,82,99,0.55,CN,1675707687
249,slatina,44.4333,24.3667,271.74,61,85,2.27,RO,1675707687
250,kapoeta,4.7717,33.5903,303.61,20,20,2.18,SS,1675707687
251,san donato milanese,45.4199,9.2663,278.41,70,75,5.14,IT,1675707688
252,mogadishu,2.0371,45.3438,298.32,85,11,8.33,SO,1675707477
253,lamu,-2.2717,40.902,298.06,87,73,6.22,KE,1675707688
254,sao joao da barra,-21.6403,-41.0511,302.2,85,74,3.82,BR,1675707372
255,draguignan,43.5333,6.4667,281.96,72,14,1.54,FR,1675707688
256,matara,5.9485,80.5353,297.11,89,100,1.74,LK,1675707689
257,half moon bay,37.4636,-122.4286,285.71,74,0,5.14,US,1675707689
258,balkanabat,39.5108,54.3671,285.59,37,58,7.5,TM,1675707689
259,bubaque,11.2833,-15.8333,297.68,67,13,9.21,GW,1675707690
260,nanyamba,-10.6833,39.8333,295.7,89,100,1.13,TZ,1675707690
261,touros,-5.1989,-35.4608,302.42,63,39,6.17,BR,1675707437
262,havre-saint-pierre,50.2334,-63.5986,261.15,61,100,2.06,CA,1675707410
263,raga,8.4596,25.678,300.84,13,85,1.62,SS,1675707465
264,kaeo,-35.1,173.7833,288.89,95,20,1.97,NZ,1675707691
265,vakhrushi,58.6847,50.0261,251.36,100,78,1.05,RU,1675707691
266,grindavik,63.8424,-22.4338,273.41,86,75,15.43,IS,1675707691
267,yichang,30.7144,111.2847,282.44,68,25,1.26,CN,1675707672
268,dingle,10.9995,122.6711,296.87,92,52,3.2,PH,1675707692
269,bambanglipuro,-7.95,110.2833,297.36,90,100,3.06,ID,1675707692
270,tamiahua,21.2667,-97.45,297.45,66,0,3.61,MX,1675707692
271,menongue,-14.6585,17.691,291.62,82,100,1.5,AO,1675707693
272,dikson,73.5069,80.5464,251.36,100,100,1.94,RU,1675707304
273,cocobeach,1.0002,9.5823,300.48,80,93,3.85,GA,1675707693
274,fort nelson,58.8053,-122.7002,260.34,77,75,2.24,CA,1675707694
275,marathon,44.9,-89.7668,273.73,72,0,5.66,US,1675707694
276,rorvik,64.8621,11.2373,280.21,87,75,9.77,NO,1675707695
277,ibra,22.6906,58.5334,293.18,54,31,2.35,OM,1675707695
278,kamien pomorski,53.9685,14.7726,274.35,79,7,1.26,PL,1675707695
